,columns,missing values count
124,Sensor - 125,18
125,Sensor - 126,18
126,Sensor - 127,18
127,Sensor - 128,18
128,Sensor - 129,18
129,Sensor - 130,18
130,Sensor - 131,18
131,Sensor - 132,18
132,Sensor - 133,18
133,Sensor - 134,18
134,Sensor - 135,18
135,Sensor - 136,0
136,Sensor - 137,6
137,Sensor - 138,18
138,Sensor - 139,78
139,Sensor - 140,78
140,Sensor - 141,78
141,Sensor - 142,78
142,Sensor - 143,78
143,Sensor - 144,48
144,Sensor - 145,12
145,Sensor - 146,12
146,Sensor - 147,12
147,Sensor - 148,12
148,Sensor - 149,12
149,Sensor - 150,18
150,Sensor - 151,18
151,Sensor - 152,18
152,Sensor - 153,18
153,Sensor - 154,18
154,Sensor - 155,18
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,4626
158,Sensor - 159,4626
159,Sensor - 160,6
160,Sensor - 161,6
161,Sensor - 162,6
162,Sensor - 163,6
163,Sensor - 164,6
164,Sensor - 165,6
165,Sensor - 166,6
166,Sensor - 167,6
167,Sensor - 168,6
168,Sensor - 169,6
169,Sensor - 170,6
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,84
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,6
191,Sensor - 192,6
192,Sensor - 193,6
193,Sensor - 194,6
194,Sensor - 195,6
195,Sensor - 196,6
196,Sensor - 197,30
197,Sensor - 198,30
198,Sensor - 199,30
199,Sensor - 200,30
200,Sensor - 201,30
201,Sensor - 202,30
202,Sensor - 203,30
203,Sensor - 204,30
204,Sensor - 205,30
205,Sensor - 206,30
206,Sensor - 207,30
207,Sensor - 208,30
208,Sensor - 209,30
209,Sensor - 210,30
210,Sensor - 211,144
211,Sensor - 212,144
212,Sensor - 213,144
213,Sensor - 214,144
214,Sensor - 215,144
215,Sensor - 216,144
216,Sensor - 217,144
217,Sensor - 218,144
218,Sensor - 219,6
219,Sensor - 220,12
220,Sensor - 221,3666
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,306
225,Sensor - 226,306
226,Sensor - 227,30
227,Sensor - 228,12
228,Sensor - 229,12
229,Sensor - 230,30
230,Sensor - 231,30
231,Sensor - 232,30
232,Sensor - 233,30
233,Sensor - 234,30
234,Sensor - 235,30
235,Sensor - 236,30
236,Sensor - 237,30
237,Sensor - 238,30
238,Sensor - 239,12
239,Sensor - 240,12
240,Sensor - 241,30
241,Sensor - 242,30
242,Sensor - 243,30
243,Sensor - 244,30
244,Sensor - 245,1728
245,Sensor - 246,1728
246,Sensor - 247,1728
247,Sensor - 248,3342
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,144
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,18
257,Sensor - 258,18
258,Sensor - 259,18
259,Sensor - 260,18
260,Sensor - 261,18
261,Sensor - 262,18
262,Sensor - 263,18
263,Sensor - 264,18
264,Sensor - 265,18
265,Sensor - 266,18
266,Sensor - 267,18
267,Sensor - 268,18
268,Sensor - 269,18
269,Sensor - 270,18
270,Sensor - 271,0
271,Sensor - 272,6
272,Sensor - 273,18
273,Sensor - 274,78
274,Sensor - 275,78
275,Sensor - 276,78
276,Sensor - 277,78
277,Sensor - 278,78
278,Sensor - 279,48
279,Sensor - 280,12
280,Sensor - 281,12
281,Sensor - 282,12
282,Sensor - 283,12
283,Sensor - 284,12
284,Sensor - 285,18
285,Sensor - 286,18
286,Sensor - 287,18
287,Sensor - 288,18
288,Sensor - 289,18
289,Sensor - 290,18
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,4626
293,Sensor - 294,4626
294,Sensor - 295,6
295,Sensor - 296,6
296,Sensor - 297,6
297,Sensor - 298,6
298,Sensor - 299,6
299,Sensor - 300,6
300,Sensor - 301,6
301,Sensor - 302,6
302,Sensor - 303,6
303,Sensor - 304,6
304,Sensor - 305,6
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,84
314,Sensor - 315,84
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,6
327,Sensor - 328,6
328,Sensor - 329,6
329,Sensor - 330,6
330,Sensor - 331,6
331,Sensor - 332,6
332,Sensor - 333,30
333,Sensor - 334,30
334,Sensor - 335,30
335,Sensor - 336,30
336,Sensor - 337,30
337,Sensor - 338,30
338,Sensor - 339,30
339,Sensor - 340,30
340,Sensor - 341,30
341,Sensor - 342,30
342,Sensor - 343,30
343,Sensor - 344,30
344,Sensor - 345,30
345,Sensor - 346,3180
346,Sensor - 347,3180
347,Sensor - 348,30
348,Sensor - 349,144
349,Sensor - 350,144
350,Sensor - 351,144
351,Sensor - 352,144
352,Sensor - 353,144
353,Sensor - 354,144
354,Sensor - 355,144
355,Sensor - 356,144
356,Sensor - 357,6
357,Sensor - 358,12
358,Sensor - 359,3666
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,306
363,Sensor - 364,306
364,Sensor - 365,30
365,Sensor - 366,12
366,Sensor - 367,12
367,Sensor - 368,30
368,Sensor - 369,30
369,Sensor - 370,30
370,Sensor - 371,30
371,Sensor - 372,30
372,Sensor - 373,30
373,Sensor - 374,30
374,Sensor - 375,30
375,Sensor - 376,30
376,Sensor - 377,12
377,Sensor - 378,12
378,Sensor - 379,30
379,Sensor - 380,30
380,Sensor - 381,30
381,Sensor - 382,30
382,Sensor - 383,1728
383,Sensor - 384,1728
384,Sensor - 385,1728
385,Sensor - 386,3342
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,144
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,18
395,Sensor - 396,18
396,Sensor - 397,18
397,Sensor - 398,18
398,Sensor - 399,18
399,Sensor - 400,18
400,Sensor - 401,18
401,Sensor - 402,18
402,Sensor - 403,18
403,Sensor - 404,18
404,Sensor - 405,18
405,Sensor - 406,18
406,Sensor - 407,18
407,Sensor - 408,18
408,Sensor - 409,0
409,Sensor - 410,6
410,Sensor - 411,18
411,Sensor - 412,78
412,Sensor - 413,78
413,Sensor - 414,78
414,Sensor - 415,78
415,Sensor - 416,78
416,Sensor - 417,48
417,Sensor - 418,12
418,Sensor - 419,12
419,Sensor - 420,12
420,Sensor - 421,12
421,Sensor - 422,12
422,Sensor - 423,18
423,Sensor - 424,18
424,Sensor - 425,18
425,Sensor - 426,18
426,Sensor - 427,18
427,Sensor - 428,18
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,6
431,Sensor - 432,6
432,Sensor - 433,6
433,Sensor - 434,6
434,Sensor - 435,6
435,Sensor - 436,6
436,Sensor - 437,6
437,Sensor - 438,6
438,Sensor - 439,6
439,Sensor - 440,6
440,Sensor - 441,6
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,84
450,Sensor - 451,84
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,6
463,Sensor - 464,6
464,Sensor - 465,6
465,Sensor - 466,6
466,Sensor - 467,6
467,Sensor - 468,6
468,Sensor - 469,30
469,Sensor - 470,30
470,Sensor - 471,30
471,Sensor - 472,30
472,Sensor - 473,30
473,Sensor - 474,30
474,Sensor - 475,30
475,Sensor - 476,30
476,Sensor - 477,30
477,Sensor - 478,30
478,Sensor - 479,30
479,Sensor - 480,30
480,Sensor - 481,30
481,Sensor - 482,30
482,Sensor - 483,144
483,Sensor - 484,144
484,Sensor - 485,144
485,Sensor - 486,144
486,Sensor - 487,144
487,Sensor - 488,144
488,Sensor - 489,144
489,Sensor - 490,144
490,Sensor - 491,6
491,Sensor - 492,12
492,Sensor - 493,3666
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,306
497,Sensor - 498,306
498,Sensor - 499,30
499,Sensor - 500,12
500,Sensor - 501,12
501,Sensor - 502,30
502,Sensor - 503,30
503,Sensor - 504,30
504,Sensor - 505,30
505,Sensor - 506,30
506,Sensor - 507,30
507,Sensor - 508,30
508,Sensor - 509,30
509,Sensor - 510,30
510,Sensor - 511,12
511,Sensor - 512,12
512,Sensor - 513,30
513,Sensor - 514,30
514,Sensor - 515,30
515,Sensor - 516,30
516,Sensor - 517,1728
517,Sensor - 518,1728
518,Sensor - 519,1728
519,Sensor - 520,3342
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,144
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,18
529,Sensor - 530,18
530,Sensor - 531,18
531,Sensor - 532,18
532,Sensor - 533,18
533,Sensor - 534,18
534,Sensor - 535,18
535,Sensor - 536,18
536,Sensor - 537,18
537,Sensor - 538,18
538,Sensor - 539,18
539,Sensor - 540,18
540,Sensor - 541,18
541,Sensor - 542,18
542,Sensor - 543,12
543,Sensor - 544,12
544,Sensor - 545,12
545,Sensor - 546,12
546,Sensor - 547,438
547,Sensor - 548,438
548,Sensor - 549,438
549,Sensor - 550,438
550,Sensor - 551,438
551,Sensor - 552,438
552,Sensor - 553,438
553,Sensor - 554,438
554,Sensor - 555,438
555,Sensor - 556,438
556,Sensor - 557,438
557,Sensor - 558,438
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,90
563,Sensor - 564,90
564,Sensor - 565,90
565,Sensor - 566,90
566,Sensor - 567,90
567,Sensor - 568,90
568,Sensor - 569,90
569,Sensor - 570,90
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,3012
579,Sensor - 580,3012
580,Sensor - 581,3012
581,Sensor - 582,3012
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
